"Module","Sub-Section","Permission Name","URL/Page (where enforced)","Description / Purpose","Expected Behavior — Has Permission","Expected Behavior — No Permission","How to Test","Frontend","Backend"
"Registration","OPD Details","Update consultant","Registration → Create Order (/registration/create) — OPD section","Registration → OPD Details: controls the “Update consultant” capability.","The ""Update consultant"" control is visible and enabled for the user; the action may be performed.","The ""Update consultant"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update consultant"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","OPD Details","Update consultation type","Registration → Create Order (/registration/create) — OPD section","Registration → OPD Details: controls the “Update consultation type” capability.","The ""Update consultation type"" control is visible and enabled for the user; the action may be performed.","The ""Update consultation type"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update consultation type"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","OPD Details","Update visit type","Registration → Create Order (/registration/create) — OPD section","Registration → OPD Details: controls the “Update visit type” capability.","The ""Update visit type"" control is visible and enabled for the user; the action may be performed.","The ""Update visit type"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update visit type"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","OPD Details","Update appointment date and time","Registration → Create Order (/registration/create) — OPD section","Registration → OPD Details: controls the “Update appointment date and time” capability.","The ""Update appointment date and time"" control is visible and enabled for the user; the action may be performed.","The ""Update appointment date and time"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update appointment date and time"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Radiology Details","Add short radiologist","Registration → Create Order (/registration/create) — Radiology section","Registration → Radiology Details: controls the “Add short radiologist” capability.","The ""Add short radiologist"" control is visible and enabled for the user; the action may be performed.","The ""Add short radiologist"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Add short radiologist"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Radiology Details","Update radiologist","Registration → Create Order (/registration/create) — Radiology section","Registration → Radiology Details: controls the “Update radiologist” capability.","The ""Update radiologist"" control is visible and enabled for the user; the action may be performed.","The ""Update radiologist"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update radiologist"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Radiology Details","Add short radiology technician","Registration → Create Order (/registration/create) — Radiology section","Registration → Radiology Details: controls the “Add short radiology technician” capability.","The ""Add short radiology technician"" control is visible and enabled for the user; the action may be performed.","The ""Add short radiology technician"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Add short radiology technician"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Radiology Details","Update radiology technician","Registration → Create Order (/registration/create) — Radiology section","Registration → Radiology Details: controls the “Update radiology technician” capability.","The ""Update radiology technician"" control is visible and enabled for the user; the action may be performed.","The ""Update radiology technician"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update radiology technician"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Radiology Details","Update appointment date & time","Registration → Create Order (/registration/create) — Radiology section","Registration → Radiology Details: controls the “Update appointment date & time” capability.","The ""Update appointment date & time"" control is visible and enabled for the user; the action may be performed.","The ""Update appointment date & time"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update appointment date & time"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Payment Details","Allowable order discount (percentage)","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Allowable order discount (percentage)” capability.","The “Allowable order discount (percentage)” control is visible and enabled on this page; the user may perform the action.","The “Allowable order discount (percentage)” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allowable order discount (percentage)” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Payment Details","Deduct from wallet","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Deduct from wallet” capability.","The “Deduct from wallet” control is visible and enabled on this page; the user may perform the action.","The “Deduct from wallet” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Deduct from wallet” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","N/A"
"Registration","Payment Details","Clear previous dues","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Clear previous dues” capability.","The “Clear previous dues” control is visible and enabled on this page; the user may perform the action.","The “Clear previous dues” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Clear previous dues” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Payment Details","Deduct from loyalty points","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Deduct from loyalty points” capability.","The “Deduct from loyalty points” control is visible and enabled on this page; the user may perform the action.","The “Deduct from loyalty points” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Deduct from loyalty points” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","N/A"
"Registration","Payment Details","Allow TDS deduction","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Allow TDS deduction” capability.","The “Allow TDS deduction” control is visible and enabled on this page; the user may perform the action.","The “Allow TDS deduction” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow TDS deduction” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Payment Details","Update TDS deduction","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update TDS deduction” capability.","The “Update TDS deduction” control is visible and enabled on this page; the user may perform the action.","The “Update TDS deduction” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update TDS deduction” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Payment Details","Update paid amount","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update paid amount” capability.","The “Update paid amount” control is visible and enabled on this page; the user may perform the action.","The “Update paid amount” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update paid amount” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Payment Details","Update payment mode","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update payment mode” capability.","The “Update payment mode” control is visible and enabled on this page; the user may perform the action.","The “Update payment mode” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update payment mode” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Payment Details","Update payment notes","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update payment notes” capability.","The “Update payment notes” control is visible and enabled on this page; the user may perform the action.","The “Update payment notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update payment notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Payment Details","Update refund amount","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update refund amount” capability.","The “Update refund amount” control is visible and enabled on this page; the user may perform the action.","The “Update refund amount” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update refund amount” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Payment Details","Update cancelled amount","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update cancelled amount” capability.","The “Update cancelled amount” control is visible and enabled on this page; the user may perform the action.","The “Update cancelled amount” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update cancelled amount” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Payment Details","Update cancellation charges","Registration → Create Order / Billings (payment section)","Registration → Payment Details: controls the “Update cancellation charges” capability.","The “Update cancellation charges” control is visible and enabled on this page; the user may perform the action.","The “Update cancellation charges” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update cancellation charges” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Billings","Cancellation of order with refund","Registration → Billings (/registration/billings)","Registration → Billings: controls the “Cancellation of order with refund” capability.","The “Cancellation of order with refund” control is visible and enabled on this page; the user may perform the action.","The “Cancellation of order with refund” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Cancellation of order with refund” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Billings","Cancellation of order without refund","Registration → Billings (/registration/billings)","Registration → Billings: controls the “Cancellation of order without refund” capability.","The “Cancellation of order without refund” control is visible and enabled on this page; the user may perform the action.","The “Cancellation of order without refund” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Cancellation of order without refund” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Billings","Settle payment of other users","Registration → Billings (/registration/billings)","Registration → Billings: controls the “Settle payment of other users” capability.","The “Settle payment of other users” control is visible and enabled on this page; the user may perform the action.","The “Settle payment of other users” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Settle payment of other users” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Quotations","Create quotation","Registration → Quotations (/registration/quotations)","Registration → Quotations: controls the “Create quotation” capability.","The “Create quotation” control is visible and enabled on this page; the user may perform the action.","The “Create quotation” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Create quotation” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Quotations","Update quotation","Registration → Quotations (/registration/quotations)","Registration → Quotations: controls the “Update quotation” capability.","The “Update quotation” control is visible and enabled on this page; the user may perform the action.","The “Update quotation” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update quotation” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Quotations","Recreate quotation","Registration → Quotations (/registration/quotations)","Registration → Quotations: controls the “Recreate quotation” capability.","The “Recreate quotation” control is visible and enabled on this page; the user may perform the action.","The “Recreate quotation” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Recreate quotation” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Quotations","Convert quotation","Registration → Quotations (/registration/quotations)","Registration → Quotations: controls the “Convert quotation” capability.","The “Convert quotation” control is visible and enabled on this page; the user may perform the action.","The “Convert quotation” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Convert quotation” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Create appointment","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Create appointment” capability.","The “Create appointment” control is visible and enabled on this page; the user may perform the action.","The “Create appointment” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Create appointment” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Edit the appointment","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Edit the appointment” capability.","The “Edit the appointment” control is visible and enabled on this page; the user may perform the action.","The “Edit the appointment” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Edit the appointment” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Appointments","Update appointment","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Update appointment” capability.","The “Update appointment” control is visible and enabled on this page; the user may perform the action.","The “Update appointment” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update appointment” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Confirm the appointment","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Confirm the appointment” capability.","The “Confirm the appointment” control is visible and enabled on this page; the user may perform the action.","The “Confirm the appointment” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Confirm the appointment” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Checked in the appointment","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Checked in the appointment” capability.","The “Checked in the appointment” control is visible and enabled on this page; the user may perform the action.","The “Checked in the appointment” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Checked in the appointment” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Cancel the appointment with refund","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Cancel the appointment with refund” capability.","The “Cancel the appointment with refund” control is visible and enabled on this page; the user may perform the action.","The “Cancel the appointment with refund” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Cancel the appointment with refund” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Cancel the appointment without refund","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Cancel the appointment without refund” capability.","The “Cancel the appointment without refund” control is visible and enabled on this page; the user may perform the action.","The “Cancel the appointment without refund” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Cancel the appointment without refund” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","View doctors list","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “View doctors list” capability.","The “View doctors list” control is visible and enabled on this page; the user may perform the action.","The “View doctors list” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View doctors list” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
